Zip_Code,County,,
15675,Westmoreland,,
15676,Westmoreland,,
15677,Westmoreland,,
15678,Westmoreland,,
15679,Westmoreland,,
15680,Westmoreland,,
15681,Indiana,,
15682,Armstrong,,
15683,Westmoreland,,
15684,Westmoreland,,
15685,Westmoreland,,
15686,Armstrong,,
15687,Westmoreland,,
15688,Westmoreland,,
15689,Westmoreland,,
15690,Westmoreland,,
15691,Westmoreland,,
15692,Westmoreland,,
15693,Westmoreland,,
15695,Westmoreland,,
15696,Westmoreland,,
15697,Westmoreland,,
15698,Westmoreland,,
15701,Indiana,,
15705,Indiana,,
15710,Indiana,,
15711,Jefferson,,
15712,Indiana,,
15713,Indiana,,
15714,Cambria,,
15715,Jefferson,,
15716,Indiana,,
15717,Indiana,,
15720,Indiana,,
15721,Clearfield,,
15722,Cambria,,
15723,Indiana,,
15724,Indiana,,
15725,Indiana,,
15727,Indiana,,
15728,Indiana,,
15729,Indiana,,
15730,Jefferson,,
15731,Indiana,,
15732,Indiana,,
15733,Jefferson,,
15734,Indiana,,
15736,Armstrong,,
15737,Cambria,,
15738,Cambria,,
15739,Indiana,,
15740,Jefferson,,
15741,Indiana,,
15742,Indiana,,
15744,Jefferson,,
15745,Indiana,,
15746,Indiana,,
15747,Indiana,,
15748,Indiana,,
15750,Indiana,,
15752,Indiana,,
15753,Clearfield,,
15754,Indiana,,
15756,Indiana,,
15757,Clearfield,,
15758,Indiana,,
15759,Indiana,,
15760,Cambria,,
15761,Indiana,,
15762,Cambria,,
15763,Indiana,,
15764,Jefferson,,
15765,Indiana,,
15767,Jefferson,,
15770,Jefferson,,
15771,Indiana,,
15772,Indiana,,
15773,Cambria,,
15774,Indiana,,
15775,Cambria,,
15776,Jefferson,,
15777,Indiana,,
15778,Jefferson,,
15779,Westmoreland,,
15780,Jefferson,,
15781,Jefferson,,
15783,Indiana,,
15784,Jefferson,,
15801,Clearfield,,
15821,Elk,,
15822,Elk,,
15823,Elk,,
15824,Jefferson,,
15825,Jefferson,,
15827,Elk,,
15828,Forest,,
15829,Jefferson,,
15831,Elk,,
15832,Cameron,,
15834,Cameron,,
15840,Jefferson,,
15841,Elk,,
15845,Elk,,
15846,Elk,,
15847,Jefferson,,
15848,Clearfield,,
15849,Clearfield,,
15851,Jefferson,,
15853,Elk,,
15856,Clearfield,,
15857,Elk,,
15860,Jefferson,,
15861,Cameron,,
15863,Jefferson,,
15864,Jefferson,,
15865,Jefferson,,
15866,Clearfield,,
15868,Elk,,
15870,Elk,,
15901,Cambria,,
15902,Cambria,,
15904,Cambria,,
15905,Cambria,,
15906,Cambria,,
15907,Cambria,,
15909,Cambria,,
15915,Cambria,,
15920,Indiana,,
15921,Cambria,,
15922,Cambria,,
15923,Westmoreland,,
15924,Somerset,,
15925,Cambria,,
15926,Somerset,,
15927,Cambria,,
15928,Somerset,,
15929,Indiana,,
15930,Cambria,,
15931,Cambria,,
15934,Cambria,,
15935,Somerset,,
15936,Somerset,,
15937,Somerset,,
15938,Cambria,,
15940,Cambria,,
15942,Cambria,,
15943,Cambria,,
15944,Westmoreland,,
15945,Cambria,,
15946,Cambria,,
15948,Cambria,,
15949,Indiana,,
15951,Cambria,,
15952,Cambria,,
15953,Somerset,,
15954,Westmoreland,,
15955,Cambria,,
15956,Cambria,,
15957,Indiana,,
15958,Cambria,,
